id,bucket,format,hook,angle,hashtags,status
15,Education,Text slides,"The ADHD loop: know what to do → can't start → shame → procrastinate → crisis → do it → repeat.",Pattern recognition — massive shareability,"#adhd #adhdlife #relatableadhd",todo
16,Education,Talking head,"Dopamine isn't about pleasure. It's about motivation. ADHD brains have a dopamine delivery problem.",Simple neuroscience hook,"#adhd #dopamine #adhdawareness",todo
17,Education,Talking head,"Why ADHD meds work for some but not others — and what to do if they don't work for you.",Practical education + controversy hook,"#adhd #adhdmeds #adhdtips",todo
18,Education,Text slides,"5 signs your ADHD is affecting your work more than you realize.",List format — #adhdcheck angle,"#adhd #adhdcheck #adhdtips",todo
19,Education,Talking head,"Time blindness is the #1 thing that ruins ADHD people's days. Here's why it happens.",Specific problem — relatable,"#adhd #timeblindness #adhdtips",todo
20,Education,Text slides,"ADHD and perfectionism. Why you can't start until conditions are perfect — and never start.",Perfectionism + ADHD angle,"#adhd #perfectionism #adhdtips",todo
21,Solution,Talking head,"I built an app for ADHD brains. One rule: only 5 tasks per day.",Slam5 pitch — curiosity hook first,"#adhd #adhdproductivity #productivity",todo
22,Solution,Talking head,"Stop using normal to-do apps if you have ADHD. Here's why they make it worse.",Problem → solution pivot,"#adhd #adhdtips #productivity",todo
23,Solution,Talking head,"The only productivity system that works for my ADHD brain: 5 tasks. That's it.",Personal testimony format,"#adhd #adhdproductivity #adhdtips",todo
24,Solution,Text slides,"Normal apps: unlimited tasks, endless scrolling, judgment. ADHD brain needs: 5 tasks max, clear wins, dopamine hit.",Contrast format — product angle,"#adhd #adhdtips #productivity",todo
25,Solution,Screen record,"Let me show you how I plan my day with ADHD. Takes 3 minutes.",Product demo — curiosity hook,"#adhd #adhdtips #productivity",todo
26,Solution,Talking head,"I stopped trying to do 20 things a day. Now I do 5. I get more done.",Counterintuitive result — personal story,"#adhd #productivity #adhdtips",todo
27,Solution,Talking head,"Every ADHD app I tried failed me. So I built my own.",Founder story — builds credibility,"#adhd #adhdfounder #productivity",todo
28,Solution,Screen record,"ADHD-friendly productivity app: no categories, no endless lists, just your 5 most important tasks.",Simple product explanation,"#adhd #adhdtips #productivity",todo
29,Solution,Talking head,"The problem with productivity apps and ADHD brains: too many options = paralysis.",Problem framing → product,"#adhd #productivity #adhdtips",todo
30,Solution,Talking head,"Win the day with ADHD: slam your 5 tasks and you're done. No guilt. No shame.",Emotional payoff + product name drop,"#adhd #adhdproductivity #slam5",todo
31,Relatable,Text slides,"ADHD morning routine: alarm → snooze x5 → panic → hyperfocus on wrong thing → late.",Humor + accuracy = shareability,"#adhd #adhdlife #adhdmemes",todo
32,Relatable,Talking head,"When you finally start the task at 11:57pm and it was due at midnight.",Relatable urgency addiction,"#adhd #relatableadhd #adhdprobs",todo
33,Relatable,Text slides,"My ADHD to-do list: 47 items. Tasks completed today: 0. Tabs open: 23.",Humor — very shareable,"#adhd #adhdmemes #adhdlife",todo
34,Relatable,Talking head,"Nobody talks about the 3 hours you spend preparing to start a 20-minute task.",Specific pain — very relatable,"#adhd #adhdparalysis #relatableadhd",todo
35,Relatable,Text slides,"ADHD productivity hack: do nothing for 2 hours → panic → do everything in 20 minutes.",Relatable dark humor,"#adhd #adhdhacks #adhdmemes",todo
36,Relatable,Talking head,"Neurotypical: make a to-do list. ADHD brain: makes list → loses list → forgets list exists.",Relatable + humor,"#adhd #adhdprobs #relatableadhd",todo
37,Relatable,Text slides,"The 'I'll just do one thing' lie I tell myself every single day.",Universal ADHD experience,"#adhd #adhdlife #relatableadhd",todo
38,Relatable,Talking head,"ADHD hyperfocus: spends 6 hours rearranging desktop icons. The report: untouched.",Specific relatable scenario,"#adhd #hyperfocus #adhdmemes",todo
39,Relatable,Text slides,"Things ADHD people are told: try harder, focus, just do it. What would actually help: one clear task, no judgment, a small win.","Validation through contrast","#adhd #adhdsupport #neurodivergent",todo
40,Relatable,Talking head,"When someone says 'just write it down' and you've written it down 400 times and still didn't do it.",Validation + humor,"#adhd #relatableadhd #adhdprobs",todo
41,Founder,Talking head,"I have ADHD and I'm building a startup. Here's what nobody tells you.",Founder + ADHD angle — unique positioning,"#adhd #adhdfounder #entrepreneur",todo
42,Founder,Talking head,"Day in my life: ADHD founder trying to ship a product without losing my mind.",Day-in-life + ADHD angle,"#adhd #founderlife #adhdproductivity",todo
43,Founder,Talking head,"Why ADHD might actually be an advantage when building a startup. (And when it destroys you.)",Balanced take — builds trust,"#adhd #adhdfounder #entrepreneur",todo
44,Founder,Talking head,"I built Slam5 because every productivity app I tried made my ADHD worse.",Origin story — product,"#adhd #adhdfounder #slam5",todo
45,Founder,Talking head,"3 things ADHD taught me about building a product people actually use.",Business insight + ADHD angle,"#adhd #adhdfounder #productivity",todo
46,Founder,Talking head,"Honest take: running a business with ADHD is harder than anyone admits.",Vulnerability — builds community,"#adhd #adhdfounder #entrepreneur",todo
47,Founder,Talking head,"Why I don't use Notion, Trello, or Asana. ADHD founder's honest review.",Product alternatives angle — high search intent,"#adhd #productivity #adhdtips",todo
48,Founder,Talking head,"The moment I realized I wasn't lazy — I had ADHD. And it changed everything.",Personal transformation story,"#adhd #latediagnosed #adhdfounder",todo
49,Founder,Talking head,"What I wish someone told me about building a business with ADHD.",Advice format — experience positioning,"#adhd #adhdfounder #entrepreneur",todo
50,Founder,Talking head,"ADHD superpower in business: hyperfocus. ADHD kryptonite in business: starting tasks.",Honest duality — builds credibility,"#adhd #adhdfounder #hyperfocus",todo
51,Validation,Talking head,"Your ADHD brain isn't broken. It's just not built for the 9-to-5 system.",System critique — validates the audience,"#adhd #neurodivergent #adhdcheck",todo
52,Validation,Text slides,"Late ADHD diagnosis means years of being called: lazy, difficult, too sensitive, underachiever.",Identity recovery angle — very emotional,"#adhd #latediagnosed #adhdsupport",todo
53,Validation,Talking head,"The hardest part of ADHD isn't the tasks. It's the shame of not doing them.",Emotional truth — high shareability,"#adhd #adhdshame #adhdsupport",todo
54,Validation,Talking head,"If you have ADHD and you're still functioning at all — that's not failure, that's heroic.",Reframe — positive validation,"#adhd #adhdsupport #neurodivergent",todo
55,Validation,Text slides,"ADHD + anxiety combo: knows exactly what needs to be done, paralyzed by doing it, anxious about not doing it.",Specific pain point — very relatable,"#adhd #adhdanxiety #relatableadhd",todo
56,Education,Talking head,"Why rewards don't work for ADHD brains the same way they do for everyone else.",Dopamine system explained,"#adhd #dopamine #adhdbrain",todo
57,Education,Text slides,"The 3 types of ADHD and why most people only know about one.",Educational — drives comments/debate,"#adhd #adhdawareness #adhdcheck",todo
58,Education,Talking head,"Executive dysfunction explained in 60 seconds.",Quick education — high rewatch value,"#adhd #executivefunction #adhdtips",todo
59,Education,Talking head,"Why ADHD gets worse under stress — and what to do about it.",Practical + emotional combination,"#adhd #adhdtips #stress",todo
60,Education,Text slides,"The body doubling hack: why working with someone present helps ADHD brains get things done.",Practical tip with science backing,"#adhd #adhdhacks #adhdtips",todo
61,Solution,Talking head,"I tried every productivity method: GTD, Pomodoro, time blocking. None worked. Here's what did.",Method comparison → Slam5 solution,"#adhd #productivity #adhdtips",todo
62,Solution,Screen record,"3-minute morning routine for ADHD: open app → pick 5 tasks → start the first one.",Product demo — extremely actionable,"#adhd #adhdtips #morningroutine",todo
63,Solution,Talking head,"The productivity rule that changed everything for my ADHD brain: never more than 5 tasks.",Core Slam5 rule — standalone value,"#adhd #adhdproductivity #adhdtips",todo
64,Solution,Text slides,"Why unlimited to-do lists destroy ADHD brains (and what to do instead).",Problem/solution — product angle,"#adhd #productivity #adhdtips",todo
65,Solution,Talking head,"ADHD and gamification: why turning tasks into wins actually works neurologically.",Science backing for Slam5 game mechanic,"#adhd #dopamine #adhdtips",todo
66,Relatable,Talking head,"ADHD tax part 2: the mental energy spent NOT doing the thing you need to do.",Sequel hook — builds series,"#adhd #adhdtax #relatableadhd",todo
67,Relatable,Text slides,"ADHD priorities: 1. The thing due now 2. The interesting thing 3. The thing I feel like doing. Work: not on this list.",Humor + accuracy,"#adhd #adhdmemes #adhdlife",todo
68,Relatable,Talking head,"'Why can't you just start?' Because my brain requires 47 conditions to align before it will allow me to begin.",Specific frustration — relatable answer,"#adhd #adhdparalysis #relatableadhd",todo
69,Relatable,Text slides,"ADHD productivity cycle: motivated at midnight → plan everything → wake up → zero motivation → guilt → repeat.",Cycle format — very shareable,"#adhd #adhdlife #adhdmemes",todo
70,Relatable,Talking head,"My favorite ADHD experience: remembering at 2am that you forgot the important thing.",Late-night thoughts angle,"#adhd #relatableadhd #adhdprobs",todo
71,Education,Talking head,"Why ADHD people are chronically late — and it has nothing to do with respect.",Time blindness explained — changes perception,"#adhd #timeblindness #adhdawareness",todo
72,Education,Text slides,"The ADHD interest curve: zero interest → forced start → sudden hyperfocus → can't stop. Why is this?","Pattern explanation — educational","#adhd #hyperfocus #adhdbrain",todo
73,Education,Talking head,"Object permanence and ADHD: out of sight, out of mind, out of task.",Specific concept explained,"#adhd #objectpermanence #adhdbrain",todo
74,Education,Talking head,"Why to-do lists make ADHD worse, not better. (A neurological explanation.)",Counterintuitive + science = strong hook,"#adhd #productivity #adhdtips",todo
75,Education,Text slides,"ADHD and sleep: why your brain won't shut off at night even when you're exhausted.",Very relatable pain + education,"#adhd #adhdsleep #relatableadhd",todo
76,Founder,Talking head,"Shipped a product with ADHD: here's the honest timeline.",Founder vulnerability — process transparency,"#adhd #adhdfounder #buildinpublic",todo
77,Founder,Talking head,"Why ADHD founders either go all-in or disappear. There's no middle.",Specific truth about ADHD entrepreneurship,"#adhd #adhdfounder #entrepreneur",todo
78,Founder,Talking head,"The ADHD founder paradox: can build entire product in hyperfocus weekend, can't answer 3 emails.",Duality humor + truth,"#adhd #adhdfounder #hyperfocus",todo
79,Founder,Talking head,"How I structure my work day as an ADHD founder. (Hint: it doesn't look like anyone else's.)",Day structure — practical + personal,"#adhd #adhdfounder #adhdproductivity",todo
80,Founder,Talking head,"Building in public with ADHD: the chaos, the wins, the embarrassing failures.",Vulnerability + transparency,"#adhd #buildinpublic #adhdfounder",todo
81,Validation,Talking head,"You didn't fail the system. The system failed your brain.",Anti-system angle — high shareability,"#adhd #neurodivergent #adhdsupport",todo
82,Validation,Text slides,"ADHD and rejection sensitivity: why one negative comment can ruin your entire day.",Emotional truth — very shareable among ADHD community,"#adhd #rsd #adhdsupport",todo
83,Validation,Talking head,"To everyone who was told they were 'too smart to have ADHD': that's not how ADHD works.",Misconception bust — builds community,"#adhd #adhdawareness #latediagnosed",todo
84,Validation,Talking head,"ADHD doesn't look like a kid who can't sit still. It looks like an adult who can't start.",Reframing adult ADHD — very shareable,"#adhd #adultadhd #adhdcheck",todo
85,Validation,Text slides,"Things that aren't character flaws — they're ADHD symptoms: losing things, forgetting, interrupting, zoning out.",Reframe list — validation format,"#adhd #adhdsymptoms #neurodivergent",todo
86,Solution,Talking head,"One habit that helped my ADHD more than any planner, app, or system: doing less.",Less is more philosophy — Slam5 angle,"#adhd #adhdtips #productivity",todo
87,Solution,Talking head,"Why I only set 5 tasks per day — and how that cured my ADHD productivity guilt.",Personal transformation → product,"#adhd #adhdproductivity #slam5",todo
88,Solution,Text slides,"ADHD and to-do lists: the problem isn't the list. It's the size. 5 max. Always.",Rule-based content — actionable,"#adhd #adhdtips #productivity",todo
89,Solution,Talking head,"How to actually win a day with ADHD. (Not inspirational fluff — what actually works.)","Anti-fluff hook — builds trust","#adhd #adhdtips #productivity",todo
90,Solution,Screen record,"The 5-task rule in action: how I plan tomorrow with ADHD in under 5 minutes.",Demo + process — product exposure,"#adhd #adhdproductivity #adhdtips",todo
91,Relatable,Talking head,"ADHD and the 'I'll remember it' lie. Spoiler: you won't.",Universal experience + humor,"#adhd #adhdmemes #relatableadhd",todo
92,Relatable,Text slides,"Today's ADHD achievement: remembered to eat lunch. Didn't do the work. Still counts.",Positive reframe + humor,"#adhd #adhdlife #relatableadhd",todo
93,Relatable,Talking head,"The ADHD experience of knowing exactly how to fix your life and still not doing it.",Meta-awareness humor — very relatable,"#adhd #adhdprobs #relatableadhd",todo
94,Relatable,Text slides,"ADHD working from home tier list: S tier: body doubling. A tier: deadline panic. F tier: trying to 'just focus'.",Tier list format — high engagement,"#adhd #adhdwfh #adhdmemes",todo
95,Relatable,Talking head,"When your ADHD brain is most productive: 11pm before deadline, 2am randomly, never at 9am when you planned.",Urgency + timing humor,"#adhd #adhdlife #relatableadhd",todo
96,Education,Talking head,"Rejection Sensitive Dysphoria: the ADHD symptom nobody talks about.",RSD education — emotional + informative,"#adhd #rsd #adhdawareness",todo
97,Education,Text slides,"Why ADHD medication is not 'the solution' — and what else you actually need.",Nuanced take — builds credibility,"#adhd #adhdmeds #adhdtips",todo
98,Founder,Talking head,"What I learned building a productivity app as someone with ADHD: everything I designed for myself worked for others too.",Product-market fit through personal experience,"#adhd #adhdfounder #slam5",todo
99,Founder,Talking head,"3 ADHD tools that actually helped me ship a product. (One of them is mine.)",Honest list with product placement,"#adhd #adhdfounder #adhdtips",todo
100,Solution,Talking head,"If you have ADHD and you've tried every productivity system — this one's different. 5 tasks. Win the day. That's it.",Final CTA post — direct pitch,"#adhd #adhdproductivity #slam5",todo
